codigo,nombre_cuenta,imputable,is_group,nivel,codigo_padre,root_type
2.1.03.01.01,Porción corriente de préstamos de la deuda pública interna a largo plazo,S,0,5,2.1.03.01,Liability
2.1.03.01.02,Porción corriente de préstamos de la deuda pública externa a largo plazo,S,0,5,2.1.03.01,Liability
2.1.03.02,Porción corriente de arrendamiento financiero,N,1,4,2.1.03,Liability
2.1.03.02.01,Porción corriente de arrendamiento financiero interno (leasing),S,0,5,2.1.03.02,Liability
2.1.03.02.02,Porción corriente de arrendamiento financiero externo (leasing),S,0,5,2.1.03.02,Liability
2.1.03.03,Porción corriente de títulos y valores de deuda pública de largo plazo,N,1,4,2.1.03,Liability
2.1.03.03.01,Porción corriente de títulos y valores de deuda pública Interna a largo plazo,S,0,5,2.1.03.03,Liability
2.1.03.03.02,Porción corriente de los títulos y valores de deuda pública externa a largo plazo,S,0,5,2.1.03.03,Liability
2.1.03.04,Deuda vencida y no pagada,N,1,4,2.1.03,Liability
2.1.03.04.01,Préstamos de la deuda pública,N,1,5,2.1.03.04,Liability
2.1.03.04.01.01,Préstamos de la deuda pública interna,S,0,6,2.1.03.04.01,Liability
2.1.03.04.01.02,Préstamos de la deuda pública externa,S,0,6,2.1.03.04.01,Liability
2.1.03.04.02,Títulos y valores de la deuda pública,N,1,5,2.1.03.04,Liability
2.1.03.04.02.01,Títulos y valores de la deuda pública interna,S,0,6,2.1.03.04.02,Liability
2.1.03.04.02.02,Títulos y valores de la deuda pública externa,S,0,6,2.1.03.04.02,Liability
2.1.04,Retenciones y acumulaciones a pagar c/p,N,1,3,2.1,Liability
2.1.04.01,Impuestos y retenciones a pagar a corto plazo,N,1,4,2.1.04,Liability
2.1.04.01.01,Impuestos a pagar c/p,S,0,5,2.1.04.01,Liability
2.1.04.01.02,Anticipos y pagos a cuenta de impuestos a pagar c/p,S,0,5,2.1.04.01,Liability
2.1.04.01.03,Devoluciones de impuestos a pagar c/p,S,0,5,2.1.04.01,Liability
2.1.04.01.04,Retenciones y deducciones a pagar c/p,S,0,5,2.1.04.01,Liability
2.1.04.02,Fondos de terceros en la Cuenta Única del Tesoro,N,1,4,2.1.04,Liability
2.1.04.02.01,Fondos del sector público en la Cuenta Única del Tesoro,N,1,5,2.1.04.02,Liability
2.1.04.02.01.01,Fondos de la administración central en la CUT,N,1,6,2.1.04.02.01,Liability
2.1.04.02.01.02,Fondos de instituciones públicas descentralizadas y autónomas en la CUT,N,1,6,2.1.04.02.01,Liability
2.1.04.02.01.02.01,Depósitos en la CUT- Centro de Exportación e Inversión de la República Dominicana,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.02,Depósitos en la CUT- Consejo Nacional de Población y Familia,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.03,Depósitos en la CUT- Departamento Aeroportuario,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.04,Depósitos en la CUT- Cruz Roja Dominicana,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.05,Depósitos en la CUT- Defensa Civil,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.06,Depósitos en la CUT- Instituto Agrario Dominicano,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.07,Depósitos en la CUT- Instituto Azucarero Dominicano,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.08,Depósitos en la CUT- Jardín Botánico Nacional,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.09,Depósitos en la CUT- Liga Municipal Dominicana,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.10,Depósitos en la CUT- Universidad Autónoma de Santo Domingo,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.11,Depósitos en la CUT- Parque Zoológico Nacional,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.12,Depósitos en la CUT- Instituto Dominicano de las Telecomunicaciones,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.13,Depósitos en la CUT- Instituto Dominicano de Investigaciones Agropecuarias y Forestales,S,0,7,2.1.04.02.01.02,Liability
